,키워드,빈도
439,바이든,1
440,박차,1
441,반납,1
443,반도체사업,1
446,반발,1
134,6000만,1
135,6000원,1
137,63조,1
410,매도,1
380,도로,1
381,도전,1
382,돌발,1
141,7%,1
387,등장,1
388,등판,1
389,디램익스체인지,1
390,디바이스솔루션,1
140,6년,1
393,디자인,1
139,656억,1
396,라이브,1
398,라인,1
399,라인업,1
400,러브콜,1
406,마지막,1
409,맞춤,1
304,구매,1
303,광원,1
300,과잉,1
170,99만,1
215,S21플러스,1
216,SK,1
217,SK바이오팜,1
173,9시,1
222,VR,1
226,ㆍLG,1
227,ㆍ삼성,1
171,9~10%,1
169,995.22,1
162,8~18%,1
168,987.79,1
233,가상현실,1
235,가전사업,1
236,가전제품,1
238,각도,1
239,각종,1
240,간섭,1
166,8조,1
214,S21울트라,1
213,S21,1
211,Pandemic,1
210,PC,1
182,DS,1
183,DS사업부문,1
184,DS투자증권,1
185,Digital,1
188,ESS,1
189,H&A사업본부,1
190,HE사업본부,1
192,IFRS,1
194,IM사업부문,1
196,IT기기,1
197,IT업계,1
198,JBL,1
203,LG생활건강,1
176,AR,1
206,NEO,1
207,Neo,1
209,P2,1
164,8위,1
247,강세장,1
299,과도기,1
286,고지,1
278,계열사,1
279,계절적,1
280,계좌,1
281,계획,1
282,고개,1
283,고객,1
284,고급,1
285,고점,1
287,골목길,1
161,86.9%,1
155,8.69%,1
290,공급,1
291,공급부족,1
293,공동개발,1
294,공략,1
154,7조,1
297,공식,1
298,공신,1
157,8.90%,1
275,경쟁사,1
274,경쟁,1
273,경신,1
249,개막,1
160,8150만,1
252,개최,1
159,8100억,1
255,갤럭시노트,1
256,갤럭시노트20,1
259,검토,1
260,게임,1
261,게임주의,1
262,견인,1
265,결산,1
266,결선,1
267,결선투표,1
268,결실,1
269,결정,1
270,결제,1
272,경기,1
447,반전,1
448,반토막,1
449,발광원,1
634,야외,1
618,아이폰12,1
620,악화,1
621,안전,1
624,안착,1
626,안테나,1
630,애널리스트들,1
93,3645억,1
633,액정표시장치,1
635,야외활동,1
650,에프앤가이드,1
637,약진,1
638,양산,1
92,360도,1
642,언택트,1
90,34%,1
644,업그레이드,1
647,업체들,1
89,3161.11,1
95,3813억,1
616,아이엠,1
615,아이비,1
614,쏠림,1
592,승자,1
104,43만,1
596,시스템반도체,1
103,42%,1
102,40분,1
599,시즌,1
101,40만,1
601,신가전,1
602,신고가,1
603,신규,1
604,신사업,1
605,신영증권,1
100,4096단계,1
609,신호,1
99,400조,1
97,3월,1
613,심리,1
649,에너지저장장치,1
651,엔비디아,1
589,스트레스,1
707,위축,1
690,우선주,1
691,우세,1
692,운전,1
77,2주,1
699,원격수업,1
75,2억,1
705,위기,1
706,위원,1
709,위험,1
652,엔씨소프트,1
714,유동성,1
716,유력,1
717,유리,1
718,유안타증권,1
719,유일,1
720,유지,1
722,윤진우,1
723,음악,1
687,요건,1
686,외국인들,1
78,2차,1
684,옴디아,1
654,엘지,1
88,3152.18,1
87,3150선,1
658,역대급,1
659,역할,1
85,31%,1
664,연구위원,1
666,연속,1
667,연일,1
82,3.97%,1
81,3.7%,1
80,3.4%,1
674,영향력,1
675,영화,1
79,3.1원,1
679,예시,1
683,올레드TV,1
591,승리,1
105,45조,1
450,발생,1
122,5500원,1
482,분전,1
486,비메모리반도체,1
488,비스포크,1
124,57%,1
123,568억,1
492,빈자리,1
493,빔포밍,1
494,사고,1
121,540조,1
117,530조,1
120,53만,1
499,사업부문,1
502,사이클,1
503,사자세,1
506,사회적,1
119,535.6%,1
118,535%,1
510,삼성증권,1
479,분께,1
125,5900원,1
477,북미,1
474,부정적,1
451,밝기,1
452,방식,1
453,방안,1
454,방어,1
456,방향,1
457,배경,1
458,배당,1
459,배열,1
461,백악관,1
462,버블,1
463,범용,1
464,별도,1
466,보관,1
467,보통주,1
469,복합,1
472,봉쇄,1
473,부양책,1
513,상쇄,1
116,5300원,1
584,슈퍼사이클,1
571,수면,1
558,소비자,1
561,소음공해,1
112,5%가량,1
109,4번,1
566,솔루션,1
567,송명섭,1
569,송채경화,1
570,쇼핑,1
572,수성,1
518,상위,1
108,4만,1
575,수익,1
577,수주,1
107,4곳,1
106,49%,1
581,수탁생산,1
582,순매도,1
583,슈퍼,1
557,소비심리,1
554,셀트리온,1
552,센터,1
551,센서,1
521,상한가,1
522,상향,1
524,색표현력,1
525,생각,1
529,서버,1
530,서버업체들,1
532,서비스업,1
533,서울외환시장,1
534,서정훈,1
1,0.11%,1
536,석권,1
115,5225억,1
540,설계,1
114,500조,1
542,설치,1
546,성장주,1
547,성적,1
1070,흡수,1
